id,group,layer,base_margin,ablated_margin,delta_margin
f7140f00ddd8d1c5d93b05ea32ad1fff,success,5,-2.6261825561523438,-1.2391471862792969,1.3870353698730469
2435de612dd69f2012b9e40d6af4ce38,success,0,2.2185745239257812,-0.087554931640625,-2.3061294555664062
2435de612dd69f2012b9e40d6af4ce38,success,1,2.2185745239257812,-1.1101493835449219,-3.328723907470703
2435de612dd69f2012b9e40d6af4ce38,success,2,2.2185745239257812,-2.6706504821777344,-4.889225006103516
2435de612dd69f2012b9e40d6af4ce38,success,3,2.2185745239257812,-0.5948104858398438,-2.813385009765625
2435de612dd69f2012b9e40d6af4ce38,success,4,2.2185745239257812,1.009359359741211,-1.2092151641845703
2435de612dd69f2012b9e40d6af4ce38,success,5,2.2185745239257812,1.1325407028198242,-1.086033821105957
e3426e4f60c142aa3d813479f79d6305,success,0,-1.8753471374511719,-1.1841888427734375,0.6911582946777344
e3426e4f60c142aa3d813479f79d6305,success,1,-1.8753471374511719,0.018985748291015625,1.8943328857421875
e3426e4f60c142aa3d813479f79d6305,success,2,-1.8753471374511719,-0.7146072387695312,1.1607398986816406
e3426e4f60c142aa3d813479f79d6305,success,3,-1.8753471374511719,-0.35284423828125,1.5225028991699219
e3426e4f60c142aa3d813479f79d6305,success,4,-1.8753471374511719,-1.1854591369628906,0.6898880004882812
e3426e4f60c142aa3d813479f79d6305,success,5,-1.8753471374511719,-1.2358760833740234,0.6394710540771484
46bc1a50eeead10509a43a048e01194e,failure,0,3.0806655883789062,1.6747055053710938,-1.4059600830078125
46bc1a50eeead10509a43a048e01194e,failure,1,3.0806655883789062,0.24904251098632812,-2.831623077392578
46bc1a50eeead10509a43a048e01194e,failure,2,3.0806655883789062,-1.4874992370605469,-4.568164825439453
46bc1a50eeead10509a43a048e01194e,failure,3,3.0806655883789062,0.21338176727294922,-2.867283821105957
46bc1a50eeead10509a43a048e01194e,failure,4,3.0806655883789062,1.3602943420410156,-1.7203712463378906
46bc1a50eeead10509a43a048e01194e,failure,5,3.0806655883789062,1.1325407028198242,-1.948124885559082
896b25dc41f84357add1c798d4a96cd8,failure,0,-2.5632858276367188,-0.8679962158203125,1.6952896118164062
896b25dc41f84357add1c798d4a96cd8,failure,1,-2.5632858276367188,-1.5128898620605469,1.0503959655761719
896b25dc41f84357add1c798d4a96cd8,failure,2,-2.5632858276367188,0.45247650146484375,3.0157623291015625
896b25dc41f84357add1c798d4a96cd8,failure,3,-2.5632858276367188,-0.2912559509277344,2.2720298767089844
896b25dc41f84357add1c798d4a96cd8,failure,4,-2.5632858276367188,-0.7454509735107422,1.8178348541259766
896b25dc41f84357add1c798d4a96cd8,failure,5,-2.5632858276367188,-1.2358760833740234,1.3274097442626953
7f25dbab26165b3c8800c2733ca759d6,failure,0,-2.630237579345703,-1.3732948303222656,1.2569427490234375
7f25dbab26165b3c8800c2733ca759d6,failure,1,-2.630237579345703,-0.8706626892089844,1.7595748901367188
7f25dbab26165b3c8800c2733ca759d6,failure,2,-2.630237579345703,0.42655181884765625,3.0567893981933594
7f25dbab26165b3c8800c2733ca759d6,failure,3,-2.630237579345703,-1.4158287048339844,1.2144088745117188
7f25dbab26165b3c8800c2733ca759d6,failure,4,-2.630237579345703,-1.2844352722167969,1.3458023071289062
7f25dbab26165b3c8800c2733ca759d6,failure,5,-2.630237579345703,-1.1325407028198242,1.497696876525879
60848ce50295fc745756fbe960e78b88,failure,0,2.4869613647460938,0.8498077392578125,-1.6371536254882812
60848ce50295fc745756fbe960e78b88,failure,1,2.4869613647460938,2.393280029296875,-0.09368133544921875
60848ce50295fc745756fbe960e78b88,failure,2,2.4869613647460938,-0.8395309448242188,-3.3264923095703125
